city,count,lat,lng,ageGroup1,ageGroup2,ageGroup3,unknown_age,F,M,unknown_gen
Chicago,393,41.8756208,-87.6243706,3,42,346,2,24,369,0
Los Angeles,294,34.0536781,-118.2427025,1,13,279,1,16,278,0
Detroit,241,42.3486635,-83.0567375,2,7,219,13,31,207,3
Houston,229,29.974286,-95.5266759583333,2,12,202,13,29,196,4
Baltimore,194,39.2909295,-76.6097684,1,2,190,1,22,172,0
Philadelphia,185,39.952335,-75.163789,1,5,175,4,10,175,0
New Orleans,150,29.9499323,-90.0701156,4,8,129,9,16,133,1
Kansas City,119,39.0844687,-94.5630298,2,4,107,6,14,102,3
Indianapolis,116,39.7683795,-86.1580447,1,5,105,5,14,100,2
Columbus,112,32.4609764,-84.9877094,1,4,107,0,12,100,0
Washington,102,38.5612578,-86.1179768,0,3,98,1,9,92,1
Milwaukee,98,43.0349931,-87.922497,1,9,87,1,13,85,0
Dallas,98,33.917713,-84.8573906297509,1,4,90,3,12,85,1
Phoenix,96,33.361168,-112.121302167105,0,11,83,2,16,80,0
Memphis,94,35.1490215,-90.0516285,1,6,75,12,9,80,5
Jacksonville,80,30.3321838,-81.655651,0,3,77,0,14,66,0
Cleveland,80,35.330702,-81.5507523,1,7,70,2,14,66,0
Brooklyn,79,38.6586617,-90.1659431,2,1,75,1,6,73,0
Oakland,79,37.8043808,-122.2708166,2,7,69,1,12,66,1
Newark,78,37.521024,-122.026348406922,0,6,71,1,5,72,1
San Antonio,76,29.4246002,-98.4951405,0,4,69,3,12,64,0
Las Vegas,72,36.145204,-115.1611806,0,6,65,1,14,58,0
Atlanta,64,33.7490987,-84.3901849,1,1,56,6,6,57,1
St. Louis,63,38.6272733,-90.1978889,2,5,56,0,7,56,0
Miami,63,25.7742658,-80.1936589,2,4,51,6,8,55,0
St Louis,61,38.6272733,-90.1978889,0,3,57,1,10,50,1
Jackson,53,42.2465036,-84.4016963,2,3,46,2,10,43,0
Richmond,53,37.9357576,-122.3477486,0,1,51,1,2,51,0
Baton Rouge,53,30.4507462,-91.154551,1,4,48,0,7,46,0
Birmingham,51,42.5467012,-83.2113192,1,1,48,1,3,47,1
Charlotte,51,35.3314525,-80.93985542307689,0,3,46,2,5,46,0
Louisville,49,33.0015407,-82.4112377,1,2,44,2,9,39,1
Gary,48,41.6021292,-87.3371372,0,1,46,1,2,46,0
Oklahoma City,47,35.4707419,-97.5198806,1,2,41,3,6,41,0
Fort Worth,47,32.693397,-97.4706709166667,2,2,41,2,7,40,0
Cincinnati,45,39.1014537,-84.5124602,0,5,40,0,3,42,0
Flint,45,43.0171773,-83.7236024,1,5,39,0,3,42,0
Tulsa,45,36.219525,-96.0340433215269,0,1,44,0,11,34,0
Camden,44,39.9448436,-75.1198694,0,1,43,0,3,41,0
Bronx,42,40.8501002,-73.8662464,0,3,38,1,3,39,0
Springfield,38,30.3457949,-81.6534289,0,2,35,1,5,32,1
Tucson,38,36.738944,-107.972816,0,0,38,0,2,36,0
Fort Wayne,38,41.0799898,-85.1386015,0,1,36,1,2,36,0
Montgomery,37,40.0361447,-86.9007083,0,0,36,1,7,30,0
Sacramento,36,38.5815719,-121.4943996,1,4,29,2,4,31,1
Trenton,35,40.2170575,-74.7429463,0,2,32,1,1,34,0
Long Beach,34,33.7774658,-118.1884871,0,0,34,0,4,30,0
Buffalo,34,42.8864468,-78.8783689,0,1,32,1,3,30,1
San Francisco,34,37.7789601,-122.419199,0,1,33,0,3,31,0
Fayetteville,34,33.4487257,-84.4549262,2,2,30,0,6,28,0
Columbia,34,41.0389186,-76.4191791,0,1,33,0,8,26,0
Dayton,33,39.7589478,-84.1916069,1,1,31,0,6,26,1
Nashville,33,42.6028137,-85.0930536,2,1,25,5,0,33,0
Tampa,32,27.9477595,-82.458444,1,0,31,0,9,23,0
Omaha,32,41.2587317,-95.9378732,0,1,31,0,4,28,0
Albuquerque,31,35.0877555,-106.737170962904,1,1,28,1,5,26,0
Orlando,31,28.5421175,-81.3790462,0,1,30,0,6,25,0
Wilmington,30,33.780018,-118.2625711,0,4,26,0,4,26,0
Fresno,30,36.7322115,-119.69970961134,0,0,29,1,4,26,0
San Bernardino,30,34.1083449,-117.2897652,0,1,29,0,0,30,0
Minneapolis,29,44.9772995,-93.2654692,0,0,28,1,1,28,0
