state,count,stname,fips,ageGroup1,ageGroup2,ageGroup3,unknown_age,F,M,unknown_gen
AK,30,Alaska,2,3,1,26,0,6,24,0
AL,260,Alabama,1,5,11,229,15,41,215,4
AR,126,Arkansas,5,7,7,111,1,20,105,1
AZ,237,Arizona,4,4,14,216,3,39,198,0
CA,1388,California,6,13,75,1289,11,154,1228,6
CO,134,Colorado,8,5,6,119,4,35,98,1
CT,79,Connecticut,9,2,1,73,3,8,71,0
DC,96,District of Columbia,11,0,2,93,1,8,87,1
DE,40,Delaware,10,0,4,36,0,8,32,0
FL,742,Florida,12,17,28,674,23,129,605,8
GA,373,Georgia,13,5,18,334,16,69,300,4
HI,12,Hawaii,15,0,0,12,0,6,6,0
IA,52,Iowa,19,1,0,50,1,9,43,0
ID,29,Idaho,16,1,1,27,0,5,23,1
IL,591,Illinois,17,7,58,523,3,61,530,0
IN,331,Indiana,18,4,13,303,11,41,285,5
KS,104,Kansas,20,4,4,91,5,20,83,1
KY,170,Kentucky,21,5,5,157,3,39,130,1
LA,400,Louisiana,22,5,20,362,13,49,347,4
MA,93,Massachusetts,25,0,0,90,3,11,82,0
MD,314,Maryland,24,2,8,300,4,34,278,2
ME,24,Maine,23,0,0,24,0,4,20,0
MI,467,Michigan,26,9,29,411,18,72,390,5
MN,102,Minnesota,27,1,0,99,2,13,89,0
MO,336,Missouri,29,7,15,306,8,55,277,4
MS,130,Mississippi,28,5,7,112,6,27,101,2
MT,30,Montana,30,0,0,30,0,1,29,0
NC,416,North Carolina,37,4,25,375,12,73,343,0
ND,8,North Dakota,38,0,0,7,1,1,7,0
NE,51,Nebraska,31,1,1,49,0,6,45,0
NH,12,New Hampshire,33,1,1,9,1,1,11,0
NJ,266,New Jersey,34,2,12,248,4,24,241,1
NM,81,New Mexico,35,5,4,71,1,19,62,0
NV,116,Nevada,32,3,8,102,3,21,95,0
NY,358,New York,36,3,13,338,4,47,310,1
OH,477,Ohio,39,12,26,435,4,72,404,1
OK,167,Oklahoma,40,1,10,153,3,33,134,0
OR,82,Oregon,41,4,3,73,2,19,63,0
PA,532,Pennsylvania,42,9,18,500,5,71,460,1
RI,25,Rhode Island,44,1,1,23,0,6,19,0
SC,222,South Carolina,45,8,4,207,3,57,164,1
SD,15,South Dakota,46,0,0,15,0,1,14,0
TN,277,Tennessee,47,10,19,225,23,46,226,5
TX,933,Texas,48,18,41,845,29,164,763,6
UT,49,Utah,49,2,2,44,1,12,37,0
VA,264,Virginia,51,3,12,240,9,44,219,1
VT,12,Vermont,50,0,0,11,1,4,8,0
WA,133,Washington,53,1,6,121,5,15,118,0
WI,157,Wisconsin,55,1,9,146,1,26,131,0
WV,63,West Virginia,54,2,2,57,2,8,55,0
WY,16,Wyoming,56,1,0,15,0,6,10,0
